2020-10-17/19:48:28		Start of Validation on files!!
2020-10-17/19:48:36		Raw Data Validation Complete!!
2020-10-17/19:48:36		Starting Data Transforamtion!!
2020-10-17/19:48:42		DataTransformation Completed!!!
2020-10-17/19:48:42		Creating Training_Database and tables on the basis of given schema!!!
2020-10-17/19:49:45		Table creation Completed!!
2020-10-17/19:49:45		Insertion of Data into Table started!!!!
2020-10-17/19:51:09		Insertion in Table completed!!!
2020-10-17/19:51:09		Deleting Good Data Folder!!!
2020-10-17/19:51:09		Good_Data folder deleted!!!
2020-10-17/19:51:09		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-10-17/19:51:09		Bad files moved to archive!! Bad folder Deleted!!
2020-10-17/19:51:09		Validation Operation completed!!
2020-10-17/19:51:09		Extracting csv file from table
